ID,centro,Rotacion,Edad,Hijos,año_contrato,Contrato_Contrato Temporal,Contrato_Indeterminado,Funcion_Go-Electric,Funcion_Portavoz,Funcion_Representante Sindical,Funcion_Trabajador,Genero_Femenino,Genero_Masculino,Turno_R6D__01,Turno_RG1_2T,Turno_RG1_3T,Turno_RG2_2T,Turno_RG2_3T,Turno_RG3_3T,Turno_T_CENT,Areas_M/G-5M23,Areas_M/G-5M24,Areas_M/G-5M41,Areas_M/G-5M7,Year,Month,Day,Week Day,Evento
401344,6334460,True,34,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
401357,6334460,True,49,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
401403,6334460,True,31,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
401426,6334460,True,36,1,2030,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
401503,6334460,True,34,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
401677,6334460,True,52,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
401678,6334460,True,40,2,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
401679,6334460,True,39,0,2030,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
402412,6334460,True,47,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
402421,6334460,True,44,2,2030,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
402424,6334460,True,32,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
402606,6334460,True,37,0,2030,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
402637,6334460,True,38,1,2030,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
402973,6334460,True,34,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
403071,6334460,True,44,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
403127,6334460,True,50,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
403147,6334460,True,41,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
403243,6334460,True,34,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
403244,6334460,True,34,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
403245,6334460,True,37,1,2030,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
403249,6334460,True,56,3,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
403607,6334460,True,54,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
403609,6334460,True,38,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,2024,10,29,1,False
403817,6334460,True,41,4,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
403910,6334460,True,37,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
404091,6334460,True,36,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
404104,6334460,True,41,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
404300,6334460,True,34,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
404343,6334460,True,41,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
404346,6334460,True,39,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
404418,6334460,True,38,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
404451,6334460,True,43,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
404453,6334460,True,48,2,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
404524,6334460,True,39,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
404568,6334460,True,38,3,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
404569,6334460,True,39,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
404570,6334460,True,47,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
404605,6334460,True,34,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
405107,6334460,True,34,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405491,6334460,True,36,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
405581,6334460,True,39,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405582,6334460,True,52,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
405606,6334460,True,41,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405679,6334460,True,54,2,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
405681,6334460,True,29,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
405766,6334460,True,35,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,2024,10,29,1,False
405768,6334460,True,33,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405770,6334460,True,29,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405771,6334460,True,36,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
405835,6334460,True,45,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
405842,6334460,True,38,2,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
405895,6334460,True,35,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405897,6334460,True,30,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405898,6334460,True,43,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,2024,10,29,1,False
405997,6334460,True,38,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
406030,6334460,True,42,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
406036,6334460,True,27,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
406043,6334460,True,30,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,2024,10,29,1,False
