ID,centro,Rotacion,Edad,Hijos,año_contrato,Contrato_Contrato Temporal,Contrato_Indeterminado,Funcion_Go-Electric,Funcion_Portavoz,Funcion_Representante Sindical,Funcion_Trabajador,Genero_Femenino,Genero_Masculino,Turno_R6D__01,Turno_RG1_2T,Turno_RG1_3T,Turno_RG2_2T,Turno_RG2_3T,Turno_RG3_3T,Turno_T_CENT,Areas_M/G-5M23,Areas_M/G-5M24,Areas_M/G-5M41,Areas_M/G-5M7,Year,Month,Day,Week Day,Evento
401161,6334460,True,42,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
401496,6334460,True,34,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
401498,6334460,True,41,2,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
401499,6334460,True,36,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,2024,11,3,6,True
401501,6334460,True,44,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
401552,6334460,True,56,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
401681,6334460,True,29,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
401686,6334460,True,50,3,2030,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
401805,6334460,True,39,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
402324,6334460,True,43,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
402543,6334460,True,37,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
402553,6334460,True,30,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
402560,6334460,True,39,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
402574,6334460,True,34,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,2024,11,3,6,True
402610,6334460,True,44,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
402612,6334460,True,49,0,2030,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
402624,6334460,True,32,0,2030,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
402636,6334460,True,33,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
402650,6334460,True,32,0,2030,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
402675,6334460,True,32,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
402773,6334460,True,33,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
402894,6334460,True,31,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
402897,6334460,True,43,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
402943,6334460,True,31,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
402967,6334460,True,34,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
402968,6334460,True,34,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
402974,6334460,True,49,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
403114,6334460,True,35,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
403118,6334460,True,45,3,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
403120,6334460,True,52,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
403169,6334460,True,38,2,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
403248,6334460,True,35,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
403256,6334460,True,37,1,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
403382,6334460,True,50,0,2030,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
403476,6334460,True,45,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
403479,6334460,True,33,0,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
403483,6334460,True,37,2,2030,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
403730,6334460,True,39,0,2030,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
403819,6334460,True,42,2,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
403822,6334460,True,30,0,2030,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
403919,6334460,True,45,3,2030,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
404099,6334460,True,37,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
404306,6334460,True,48,3,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
404375,6334460,True,39,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
404510,6334460,True,41,3,2030,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
404512,6334460,True,38,2,2030,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
404814,6334460,True,29,1,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
404815,6334460,True,50,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
404817,6334460,True,27,0,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
404998,6334460,True,38,0,2030,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,2024,11,3,6,True
405270,6334460,True,33,2,2030,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
405304,6334460,True,43,2,2030,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,2024,11,3,6,True
405453,6334460,True,33,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
405600,6334460,True,45,2,2030,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,2024,11,3,6,True
